node_a,node_b,base_time,traffic_multiplier,live_travel_time
4,9,8,1.2848558451240504,10.278846760992403
11,4,14,1.2848558451240504,17.987981831736704
10,17,10,1.2848558451240504,12.848558451240503
12,3,7,1.2848558451240504,8.993990915868352
10,9,15,1.2848558451240504,19.272837676860757
15,6,7,1.2848558451240504,8.993990915868352
11,8,6,1.2848558451240504,7.709135070744303
2,8,15,1.2848558451240504,19.272837676860757
18,1,14,1.2848558451240504,17.987981831736704
15,7,11,1.2848558451240504,14.133414296364554
14,16,5,1.2848558451240504,6.424279225620252
2,19,9,1.2848558451240504,11.563702606116454
10,6,3,1.2848558451240504,3.8545675353721514
2,20,10,1.2848558451240504,12.848558451240503
9,10,6,1.2848558451240504,7.709135070744303
17,5,13,1.2848558451240504,16.703125986612655
20,16,13,1.2848558451240504,16.703125986612655
1,12,10,1.2848558451240504,12.848558451240503
13,9,6,1.2848558451240504,7.709135070744303
10,1,3,1.2848558451240504,3.8545675353721514
12,8,9,1.2848558451240504,11.563702606116454
3,14,3,1.2848558451240504,3.8545675353721514
12,14,7,1.2848558451240504,8.993990915868352
12,7,15,1.2848558451240504,19.272837676860757
13,20,15,1.2848558451240504,19.272837676860757
13,8,13,1.2848558451240504,16.703125986612655
3,4,15,1.2848558451240504,19.272837676860757
17,3,3,1.2848558451240504,3.8545675353721514
4,15,14,1.2848558451240504,17.987981831736704
12,8,15,1.2848558451240504,19.272837676860757
